id,name,Prefered,alt_names,network,owners,City,country,categories,is_nsfw,launched,closed,replaced_by,website
10Bold.au,10 Bold,Y,10 Boss;One;One HD,Network 10,Ten Network Holdings Ltd,,AU,lifestyle;relax,FALSE,2009-03-26,,,http://tenplay.com.au/
10Peach.au,10 Peach,Y,,,Ten Network Holdings,,AU,general,FALSE,2011-01-11,,,http://tenplay.com.au/
3TamilTV.au,3 Tamil TV,Y,,,,,AU,entertainment,FALSE,,,,https://threetamil.tv/
4seven.uk,4seven,Y,,,HM Government,,UK,entertainment,FALSE,2012-07-04,,,https://www.channel4.com/
5AABTV.ca,5AAB TV,Y,,,,,CA,entertainment,FALSE,,,,http://www.5aabtv.ca/
5Action.uk,5Action,Y,Paramount Network,,Paramount Networks UK & Australia,,UK,entertainment,FALSE,2022-01-19,,,http://www.channel5.com/channels/5action
5SELECT.uk,5SELECT,Y,,,Paramount Networks UK & Australia,,UK,entertainment,FALSE,2018-02-13,,,https://www.channel5.com/channels/5select
5STAR.uk,5STAR,Y,,,Paramount Global,,UK,entertainment,FALSE,2006-10-15,,,http://channel5.com/5star
5USA.uk,5USA,Y,,,Paramount Global,,UK,entertainment,FALSE,2006-10-16,,,https://www.channel5.com/channels/5usa
7bravo.au,7bravo,Y,,,Seven West Media,,AU,entertainment,FALSE,2023-01-15,,,https://7plus.com.au/
7flix.au,7flix,Y,,,Seven West Media,,AU,entertainment,FALSE,2016-02-28,,,https://7plus.com.au/
7HD.au,7HD,Y,,,Seven West Media,,AU,general,FALSE,2016-05-10,,,https://7plus.com.au/
7mate.au,7mate,Y,,,Seven West Media,,AU,general,FALSE,2010-09-25,,,https://7plus.com.au/
7two.au,7two,Y,,,Seven West Media,,AU,general,FALSE,2009-11-01,,,https://7plus.com.au/
9Gem.au,9Gem,Y,,,Nine Entertainment,,AU,entertainment,FALSE,2010-09-26,,,https://www.9now.com.au/
9HD.au,9HD,Y,,,Nine Entertainment,,AU,general,FALSE,2015-11-01,,,https://www.nine.com.au/
9Life.au,9Life,Y,,,Nine Entertainment,,AU,lifestyle,FALSE,2015-11-26,,,https://www.9now.com.au/
AathavanTV.uk,Aathavan TV,Y,,,Lyca Media,,UK,entertainment,FALSE,,,,https://athavantv.com/
ABC.us,ABC,Y,,ABC,The Walt Disney Company,,US,general,FALSE,1948-04-19,,,https://abc.com/
ABCArts.au,ABC Arts,Y,,ABC,Australian Broadcasting Corporation,,AU,culture,FALSE,,,,https://iview.abc.net.au/channel/abcarts
ABCAustralia.au,ABC Australia,Y,,ABC,Australian Broadcasting Corporation,,AU,general,FALSE,,,,http://www.abcaustralia.net.au/
ABCNews.au,ABC News,Y,,ABC,Australian Broadcasting Corporation,,AU,news,FALSE,1956-11-05,,,https://www.abc.net.au/news/newschannel/
ABCTV.au,ABC TV,Y,,ABC Television,Australian Government,,AU,general,FALSE,1956-11-06,,,https://iview.abc.net.au/channel/abc1
ABCTVPlus.au,ABC TV Plus,Y,,ABC Television,Australian Broadcasting Corporation,,AU,entertainment,FALSE,2001-07-01,,,https://www.abc.net.au/tv
AdultSwim.ca,Adult Swim,Y,,,Showcase Television,,CA,entertainment,FALSE,2019-04-01,,,https://www.adultswim.ca/
AdultSwim.us,Adult Swim,Y,,Cartoon Network,Warner Bros. Discovery Networks,,US,entertainment,FALSE,2001-09-02,,,https://www.adultswim.com/
AE.au,A&E,Y,,,Foxtel Networks,,AU,lifestyle,FALSE,2012-02-16,,,https://www.foxtel.com.au/tv-guide/channel/AE/AES/
AE.us,A&E,Y,,,A&E Networks,,US,entertainment,FALSE,1984-02-01,,,http://www.aetv.com/
AMC.us,AMC,Y,,,AMC Networks Inc.,,US,movies,FALSE,,,,https://www.amc.com/
AMCPlus.us,AMC+,Y,,,AMC Networks Entertainment LLC,,US,entertainment,FALSE,,,,https://www.amcplus.com/
AMCPresents.us,AMC Presents,Y,,,,,US,entertainment,FALSE,,,,https://www.amc.com/
AMCThrillers.us,AMC Thrillers,Y,,,,,US,movies,FALSE,,,,https://watch.plex.tv/live-tv/channel/amc-thrillers
AnimalPlanet.au,Animal Planet,Y,,,,,AU,documentary,FALSE,1999-10-01,,,https://www.animalplanet.com/
AnimalPlanet.ca,Animal Planet,Y,,,CTV Specialty Television; BBC Studios; Warner Bros. Discovery,,CA,documentary,FALSE,2001-09-07,,,http://www.animalplanet.ca/
AnimalPlanet.uk,Animal Planet,Y,,Warner Bros. Discovery EMEA,,,UK,documentary,FALSE,,,,https://www.animalplanet.com/
BBCAmerica.us,BBC America,Y,,,BBC Studios,,US,entertainment,FALSE,1998-03-29,,,http://www.bbcamerica.com/
BBCBrit.uk,BBC Brit,Y,,,BBC Studios,,UK,entertainment,FALSE,2015-09-01,,,https://www.bbcafricachannels.com/channels/brit
BBCEarth.uk,BBC Earth,Y,,,BBC Studios,,UK,documentary,FALSE,,,,
BBCFirst.uk,BBC First,Y,,,BBC Studios,,UK,entertainment,FALSE,2014-08-03,,,https://www.bbcchannels.com/
BBCFour.uk,BBC Four,Y,,,BBC,,UK,documentary;culture,FALSE,2002-03-02,,,http://www.bbc.co.uk/bbcfour/
BBCHomeGarden.us,BBC Home & Garden,Y,,Pluto TV,,,US,lifestyle,FALSE,,,,https://pluto.tv/en/live-tv/bbc-home
BBCLifestyle.uk,BBC Lifestyle,Y,,,BBC Studios,,UK,lifestyle,FALSE,,,,https://www.bbcstudios.com/
BBCNews.uk,BBC News,Y,,,BBC Studios,,UK,news,FALSE,1997-11-09,,,https://www.bbc.co.uk/tv/bbcnews
BBCOne.uk,BBC One,Y,BBC1;BBC Television;BBC Television Service,BBC Television,BBC,,UK,general,FALSE,1936-11-02,,,http://www.bbc.co.uk/bbcone/
BBCThree.uk,BBC Three,Y,,,BBC,,UK,general,FALSE,2003-02-09,,,https://www.bbc.co.uk/bbcthree
BBCThreeCBBC.uk,BBC Three/CBBC,Y,,,BBC,,UK,family;kids;animation,FALSE,2022-02-01,,,http://www.bbc.co.uk/
BBCTwo.uk,BBC Two,Y,,,BBC,,UK,general,FALSE,1964-04-21,,,http://www.bbc.co.uk/bbctwo/
BloombergTV.us,Bloomberg TV,Y,,,Michael Bloomberg;Bank of America,,US,business,FALSE,,,,https://www.bloomberg.com/live/us/btv
Bounce.us,Bounce,Y,,,,,US,,FALSE,,,,http://www.bouncetv.com/
BounceXL.us,Bounce XL,Y,,Pluto TV,,,US,entertainment,FALSE,,,,https://pluto.tv/en/live-tv/bounce-xl
Bravo.us,Bravo,Y,,,,,US,,FALSE,,,,https://www.bravotv.com/
BritBoxMysteries.us,BritBox Mysteries,Y,,Pluto TV,,,US,documentary,FALSE,,,,https://pluto.tv/en/live-tv/britbox-mysteries
BritishComedy.us,British Comedy,Y,,Pluto TV,,,US,comedy,FALSE,,,,https://pluto.tv/en/live-tv/british-comedy
BritishDrama.us,British Drama,Y,,Pluto TV,,,US,entertainment,FALSE,,,,https://pluto.tv/en/live-tv/british-drama
CBLTDT.ca,CBLT-DT,Y,,CBC,Canadian Broadcasting Corporation,"Toronto, Ontario",CA,general,FALSE,1952-09-08,,,http://www.cbc.ca/news/canada/toronto
CBS.us,CBS,Y,,CBS,Paramount Global,,US,general,FALSE,1941-07-01,,,https://www.cbs.com/
CBUTDT.ca,CBUT-DT,Y,,CBC,Canadian Broadcasting Corporation,"Vancouver, British Columbia",CA,general,FALSE,1953-12-16,,,http://www.cbc.ca/news/canada/british-columbia
CFMTDT.ca,CFMT-DT,Y,,OMNI,Rogers Sports & Media,"Toronto, Ontario",CA,general,FALSE,1979-09-03,,,http://www.omnitv.ca/ontario
CFPLDT.ca,CFPL-DT,Y,,CTV 2,Bell Media,"London, Ontario",CA,general,FALSE,1953-11-28,,,https://london.ctvnews.ca/
