"site","relative","name","xmltv_id","lang","site_id","country","hd_flag"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#GO","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#NITV","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ONE","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#RTV","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SBS","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SBS2","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#GEM","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SBS3","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SBSWW","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SHAKE","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SPREE","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#TENHD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#VICHD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#YOUTV","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#SBSHD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABCN","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#TVSN","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABC4KIDS","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABCHD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7bravo","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7HD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7MATE","AU","SD"
