"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","reason"
"plex.tv","plex.tv\plex.tv.channels.xml","123GO!","","en","5e20b730f2f8d5003d739db7-63eecb32ac23d1ee072087cb","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","5-Minute Crafts","","en","5e20b730f2f8d5003d739db7-63894c1965b848bf2c8a7800","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","ACL Cornhole TV","ACLCornholeTV.us@SD","en","5e20b730f2f8d5003d739db7-63504925a97bd70eaef54f01","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","AfroLandTV","AfroLandTV.us@SD","en","5e20b730f2f8d5003d739db7-60e737a4ebef9d002c4d0a0c","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","AFV Español","AFVEspanol.us@SD","es","5e20b730f2f8d5003d739db7-5ef4e1b10d9ad000423c4421","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","AKC.tv","","en","5e20b730f2f8d5003d739db7-63e6381d8895074ec6c78b16","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Alternative","StingrayRockAlternative.ca@SD","en","5e20b730f2f8d5003d739db7-62efbb8652f7d73061eec498","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","ALTRD.TV","ALTRDTV.us@SD","en","5e20b730f2f8d5003d739db7-60bfd0907c60b7002c9765de","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Always Funny","AFVFamily.us@US","en","5e20b730f2f8d5003d739db7-5ef11486d33ab9004048a1cd","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","ARTFLIX - Movie Classics","ARTFLIXMovieClassics.us@SD","en","5e20b730f2f8d5003d739db7-6348a10d1159f6a5ce819b7f","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Billiard TV","BilliardTV.us@SD","en","5e20b730f2f8d5003d739db7-6334a8e48a7b2a349d903b8c","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Black Star Network","","en","5e20b730f2f8d5003d739db7-64a353a864e8e3dc0a29524f","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Brat TV","","en","5e20b730f2f8d5003d739db7-63d6f6c5a9e88ee909e7ee1f","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Camp Spoopy","","en","5e20b730f2f8d5003d739db7-6164a963766ab4f9f57e81b1","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","CampusLore Sports","CampusLoreSports.us@SD","en","5e20b730f2f8d5003d739db7-6216ae22c3bbca2de8704f65","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Choppertown","Choppertown.us@SD","en","5e20b730f2f8d5003d739db7-5ef11487d33ab9004048a1d3","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","CINEPRIDE","CinePride.us@SD","en","5e20b730f2f8d5003d739db7-62167144ab2095ca85353ad6","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","ClixTV","ClixTV.us@SD","en","5e20b730f2f8d5003d739db7-6111b06a8f945c002c45dd12","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","CoinDesk TV","","en","5e20b730f2f8d5003d739db7-637f7d26eb853a321461cb63","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","CombaTV","","en","5e20b730f2f8d5003d739db7-63f0ca427b78030ed9990309","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Comedy Dynamics","ComedyDynamics.us@SD","en","5e20b730f2f8d5003d739db7-5efe1de5e0b3f5003f5d9f76","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","COMMUNE","COMMUNE.us@SD","en","5e20b730f2f8d5003d739db7-618adcbb6769b2b0bcc4c17f","","SD","country_out_of_scope"
"plex.tv","plex.tv\plex.tv.channels.xml","Cooking Panda","CookingPanda.us@SD","en","5e20b730f2f8d5003d739db7-5f07e9fdf313eb0041bbecda","","SD","country_out_of_scope"
